Rango_score,Sin dispersión,0.1 a 99.9,100 a 4999.9,5000 a 9999.9,10000 a 19999.9,20000 a 39999.9,40000 a 59999.9,60000 o más
0% a 10%,28.467,1.299,9.053,7.228,10.672,15.87,17.97,16.554
10.1% a 20%,29.927,3.896,14.341,15.562,20.539,25.282,28.654,27.423
20.1% a 30%,24.088,6.494,14.608,17.411,20.66,22.215,22.821,23.001
30.1% a 40%,10.219,18.182,14.268,16.851,17.45,16.097,14.488,15.388
40.1% a 50%,2.19,14.286,13.495,15.086,13.503,10.502,8.445,9.359
50.1% a 60%,3.65,6.494,11.995,12.145,9.043,5.883,4.516,4.949
60.1% a 70%,0.73,12.987,10.22,8.707,5.144,2.833,2.189,2.258
70.1% a 80%,0.73,18.182,7.538,5.001,2.299,1.085,0.773,0.89
80.1% a 90%,,15.584,3.95,1.848,0.653,0.223,0.145,0.175
90.1% a 100%,,2.597,0.532,0.161,0.038,0.01,,0.003
